ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P14754	0.002118	3.82E-06	-1.07E+01	4.919427	-4.95	HAPLN3	hyaluronan and proteoglycan link protein 3
A_24_P901986	0.002118	3.82E-06	-1.07E+01	4.919197	-4.16		
A_23_P310410	0.002154	3.99E-06	1.06E+01	4.880766	4.26	CD1E	CD1e molecule
A_24_P868905	0.002154	3.99E-06	-1.06E+01	4.880561	-4.31		
A_24_P12690	0.002229	4.19E-06	-1.06E+01	4.83849	-6.5	IDO2	"indoleamine 2,3-dioxygenase 2"
A_23_P214821	0.002241	4.26E-06	-1.05E+01	4.822411	-5.02	EDN1	endothelin 1
A_32_P107372	0.00231	4.54E-06	-1.05E+01	4.765929	-7.07	GBP1	guanylate binding protein 1
A_32_P213103	0.00231	4.56E-06	1.05E+01	4.762354	5.84		
A_23_P58396	0.00231	4.56E-06	1.05E+01	4.761559	6.17	PDGFC	platelet derived growth factor C
A_23_P103981	0.00235	4.70E-06	-1.04E+01	4.735501	-3.64	HIST2H2AA4	"histone cluster 2, H2aa4"
A_23_P167096	0.002394	4.85E-06	-1.04E+01	4.707892	-5.74	VEGFC	vascular endothelial growth factor C
A_23_P143374	0.002398	4.91E-06	1.04E+01	4.695662	4	NINL	ninein like
A_24_P335305	0.002406	4.99E-06	-1.03E+01	4.682397	-4.03	OAS3	2'-5'-oligoadenylate synthetase 3
A_32_P164246	0.002412	5.06E-06	1.03E+01	4.669368	5.14	FOXQ1	forkhead box Q1
A_24_P498854	0.002436	5.21E-06	1.03E+01	4.64304	3.86	LINC01114	long intergenic non-protein coding RNA 1114
A_23_P8513	0.002436	5.23E-06	-1.03E+01	4.640072	-5.47	SNX10	sorting nexin 10
A_23_P1461	0.002549	5.53E-06	-1.02E+01	4.589111	-4.14	OPTN	optineurin
A_23_P157795	0.002672	5.86E-06	1.01E+01	4.536725	5.06	CTNNAL1	catenin alpha like 1
A_32_P226605	0.002754	6.19E-06	-1.00E+01	4.487454	-4.09		
A_32_P99533	0.002754	6.19E-06	-1.00E+01	4.487333	-4.17		
A_23_P99802	0.002754	6.25E-06	1.00E+01	4.479582	4.28	FLRT2	fibronectin leucine rich transmembrane protein 2
A_23_P374082	0.002811	6.45E-06	-1.00E+01	4.451362	-3.63	ADAM19	ADAM metallopeptidase domain 19
A_23_P161428	0.002871	6.65E-06	-9.96	4.422838	-7.84	ANKRD22	ankyrin repeat domain 22
A_23_P126939	0.002985	7.05E-06	-9.88	4.36973	-3.58	RAB29	"RAB29, member RAS oncogene family"
A_24_P274270	0.002985	7.06E-06	-9.88	4.368471	-3.63	STAT1	signal transducer and activator of transcription 1
A_24_P98109	0.003041	7.27E-06	-9.84	4.342279	-5.02	SNX10	sorting nexin 10
A_23_P204087	0.00314	7.58E-06	-9.79	4.30398	-3.62	OAS2	2'-5'-oligoadenylate synthetase 2
A_24_P234094	0.003189	7.91E-06	-9.74	4.264801	-3.37	RAB29	"RAB29, member RAS oncogene family"
A_23_P72737	0.003189	7.93E-06	-9.73	4.262678	-3.9	IFITM1	interferon induced transmembrane protein 1
A_23_P110903	0.003189	7.93E-06	-9.73	4.262476	-4.16	SRSF12	serine and arginine rich splicing factor 12
A_24_P377283	0.003304	8.37E-06	-9.66	4.213595	-4.9	IL31RA	interleukin 31 receptor A
A_24_P157926	0.003304	8.38E-06	-9.66	4.212471	-3.57	TNFAIP3	TNF alpha induced protein 3
A_23_P109436	0.003309	8.57E-06	-9.63	4.191451	-4.44	ADORA2A	adenosine A2a receptor
A_32_P167592	0.003309	8.58E-06	-9.63	4.190635	-3.57		
A_24_P759477	0.003309	8.65E-06	-9.62	4.183418	-6.12	ITGB8	integrin subunit beta 8
A_23_P69383	0.003309	8.73E-06	-9.61	4.175114	-3.38	PARP9	poly(ADP-ribose) polymerase family member 9
A_23_P341567	0.003309	8.86E-06	-9.59	4.161449	-3.63	SLC9B2	solute carrier family 9 member B2
A_32_P72611	0.003309	8.88E-06	-9.59	4.159648	-3.98	MAZ	MYC associated zinc finger protein
A_23_P29237	0.003384	9.16E-06	-9.55	4.130803	-5.18	APOL3	apolipoprotein L3
A_23_P62890	0.003475	9.53E-06	-9.5	4.094009	-8.31	GBP1	guanylate binding protein 1
A_23_P215956	0.003475	9.66E-06	9.49	4.082446	4.01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
A_24_P200023	0.003475	9.69E-06	9.48	4.078922	3.91	IL1R1	interleukin 1 receptor type 1
A_24_P70183	0.003475	9.85E-06	-9.46	4.064237	-4.71	MYH11	myosin heavy chain 11
A_32_P41551	0.003475	9.97E-06	-9.45	4.052562	-3.78	LOC285957	uncharacterized LOC285957
A_23_P29816	0.003475	9.99E-06	-9.44	4.050662	-4.08	PLA1A	phospholipase A1 member A
A_23_P8754	0.003475	1.00E-05	-9.44	4.050029	-3.7	AASS	aminoadipate-semialdehyde synthase
A_23_P137931	0.003568	1.04E-05	9.4	4.017392	5.51	ADORA3	adenosine A3 receptor
A_24_P634688	0.003568	1.04E-05	-9.39	4.010276	-3.55		
A_23_P91414	0.003617	1.07E-05	-9.36	3.984874	-3.71	CCM2L	CCM2 like scaffolding protein
A_23_P99906	0.003617	1.08E-05	9.35	3.982218	5.16	HOMER2	homer scaffolding protein 2
A_32_P155026	0.003684	1.11E-05	9.32	3.957759	4.72	NFIA	nuclear factor I A
A_24_P325333	0.003696	1.12E-05	-9.3	3.945231	-6.36	PDE4B	phosphodiesterase 4B
A_32_P206541	0.003696	1.13E-05	9.3	3.939791	3.44	EMB	embigin
A_23_P343398	0.003884	1.19E-05	-9.23	3.886397	-6.51	CCR7	C-C motif chemokine receptor 7
A_23_P30687	0.003978	1.23E-05	-9.19	3.856917	-3.48	SERPINB9	serpin family B member 9
A_24_P254933	0.003993	1.26E-05	-9.17	3.83961	-3.4		
A_24_P715602	0.003993	1.26E-05	-9.16	3.834126	-4.97	LINC01093	long intergenic non-protein coding RNA 1093
A_24_P378019	0.003993	1.27E-05	-9.16	3.831628	-3.92	IRF7	interferon regulatory factor 7
A_24_P16124	0.004017	1.28E-05	-9.14	3.81912	-3.58	IFITM4P	interferon induced transmembrane protein 4 pseudogene
A_23_P2492	0.004025	1.30E-05	-9.13	3.810202	-5.1	C1S	"complement component 1, s subcomponent"
A_23_P166360	0.0041	1.35E-05	-9.08	3.775326	-5.12	PRAME	preferentially expressed antigen in melanoma
A_32_P79396	0.0041	1.35E-05	-9.08	3.772921	-4.38	NAMPT	nicotinamide phosphoribosyltransferase
A_24_P59667	0.0041	1.35E-05	-9.08	3.771905	-3.81	JAK3	Janus kinase 3
A_23_P129801	0.004106	1.36E-05	9.07	3.763855	3.38	RAB40B	"RAB40B, member RAS oncogene family"
A_23_P105794	0.004214	1.41E-05	-9.03	3.730998	-5.02	EPSTI1	epithelial stromal interaction 1 (breast)
A_23_P81094	0.004214	1.42E-05	-9.02	3.725951	-4.03	SLC9B2	solute carrier family 9 member B2
A_23_P4286	0.004219	1.43E-05	-9.01	3.718035	-4.28	XAF1	XIAP associated factor 1
A_23_P215484	0.004266	1.46E-05	8.99	3.699389	3.17	CCL26	C-C motif chemokine ligand 26
A_23_P28898	0.004266	1.47E-05	-8.98	3.694461	-4.1	PLCB4	phospholipase C beta 4
A_23_P306203	0.004306	1.49E-05	-8.96	3.678192	-3.48	SAA2	serum amyloid A2
A_24_P924183	0.004306	1.50E-05	-8.95	3.672546	-4.18	MYO10	myosin X
A_23_P69573	0.004406	1.57E-05	-8.9	3.631435	-4.93	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
A_23_P74278	0.004406	1.57E-05	-8.9	3.631248	-5.52	PDE4B	phosphodiesterase 4B
A_23_P165042	0.004406	1.60E-05	-8.88	3.614519	-4.16	LOC100129935	"lectin, galactoside binding soluble 14 pseudogene"
A_23_P48513	0.004406	1.60E-05	-8.88	3.613755	-3.4	IFI27	interferon alpha inducible protein 27
A_23_P39840	0.004406	1.60E-05	-8.88	3.610971	-3.68	VAMP5	vesicle associated membrane protein 5
A_32_P75581	0.004406	1.61E-05	-8.87	3.609217	-3.65	BHLHE22	basic helix-loop-helix family member e22
A_32_P105694	0.004406	1.61E-05	8.87	3.606195	3.72		
A_32_P32195	0.004437	1.64E-05	-8.85	3.592054	-4.97		
A_23_P139786	0.004437	1.64E-05	-8.85	3.587332	-5.45	OASL	2'-5'-oligoadenylate synthetase like
A_24_P412036	0.004439	1.66E-05	8.84	3.58071	3.77	SPAG8	sperm associated antigen 8
A_23_P4283	0.004464	1.68E-05	-8.82	3.567558	-3.77	XAF1	XIAP associated factor 1
A_23_P398947	0.004464	1.70E-05	8.81	3.557118	4.28	SYT6	synaptotagmin 6
A_23_P141505	0.004464	1.70E-05	8.81	3.555715	7.53	CLEC10A	C-type lectin domain family 10 member A
A_24_P402080	0.004464	1.71E-05	8.8	3.551116	3.42	MBP	myelin basic protein
A_23_P139600	0.004477	1.73E-05	8.79	3.540748	3.27	RASAL1	RAS protein activator like 1
A_23_P167227	0.004477	1.75E-05	8.78	3.530722	3.3	HADH	hydroxyacyl-CoA dehydrogenase
A_32_P125542	0.004477	1.76E-05	-8.77	3.525204	-4.46		
A_23_P148047	0.004477	1.76E-05	-8.77	3.52479	-3.51	PTGER4	prostaglandin E receptor 4
A_23_P121564	0.004504	1.78E-05	-8.76	3.513357	-5.31	GUCY1B3	guanylate cyclase 1 soluble subunit beta
A_23_P111583	0.004566	1.82E-05	8.73	3.494525	5.22	CD36	CD36 molecule
A_32_P44394	0.004668	1.87E-05	-8.7	3.468098	-5.53	AIM2	absent in melanoma 2
A_23_P32404	0.004683	1.89E-05	-8.68	3.454881	-4.73	ISG20	interferon stimulated exonuclease gene 20
A_24_P920398	0.004683	1.91E-05	-8.68	3.447787	-3.87	PARP14	poly(ADP-ribose) polymerase family member 14
A_23_P112452	0.004683	1.91E-05	8.67	3.444614	6.3	GGTA1P	"glycoprotein, alpha-galactosyltransferase 1 pseudogene"
A_23_P257815	0.004683	1.92E-05	8.67	3.442332	5.15	CD180	CD180 molecule
A_24_P87931	0.004776	1.97E-05	-8.64	3.418239	-3.18	APOL1	apolipoprotein L1
A_23_P326160	0.004836	2.01E-05	-8.62	3.399105	-3.33	ZC3H12A	zinc finger CCCH-type containing 12A
A_23_P55632	0.004836	2.02E-05	-8.61	3.395286	-4.99	SERPINB3	serpin family B member 3
A_24_P684186	0.004859	2.05E-05	8.59	3.379356	3.27	EMB	embigin
A_24_P592591	0.004859	2.06E-05	-8.59	3.375089	-3.96		
A_23_P302550	0.004859	2.06E-05	8.59	3.374344	3.88	RGS18	regulator of G-protein signaling 18
A_32_P132300	0.004937	2.11E-05	8.56	3.353807	4.4		
A_24_P303145	0.004938	2.12E-05	8.56	3.348343	4.33	ANKH	ANKH inorganic pyrophosphate transport regulator
A_23_P211445	0.005041	2.18E-05	-8.53	3.323323	-4.24	LIMK2	LIM domain kinase 2
A_24_P315405	0.005126	2.23E-05	-8.5	3.302146	-3.98		
A_23_P56898	0.005128	2.24E-05	-8.49	3.29645	-2.97	KYNU	kynureninase
A_24_P277875	0.005173	2.27E-05	8.48	3.282959	3.23	CHN2	chimerin 2
A_23_P1602	0.005183	2.29E-05	-8.47	3.275817	-4.27	CDC42EP2	CDC42 effector protein 2
A_23_P38346	0.005193	2.31E-05	-8.46	3.268758	-3.66	DHX58	DEXH-box helicase 58
A_24_P275386	0.005424	2.42E-05	8.41	3.222212	4.11	BRI3BP	BRI3 binding protein
A_23_P2307	0.0055	2.47E-05	-8.38	3.203965	-3.68	RHEBL1	Ras homolog enriched in brain like 1
A_23_P63896	0.005518	2.50E-05	-8.37	3.192541	-4.76	FAS	Fas cell surface death receptor
A_23_P68155	0.005518	2.51E-05	-8.37	3.189412	-3.41	IFIH1	interferon induced with helicase C domain 1
A_23_P30736	0.005518	2.52E-05	-8.36	3.185325	-3.38	HLA-DOB	"major histocompatibility complex, class II, DO beta"
A_32_P148407	0.005716	2.62E-05	8.32	3.145353	2.99		
A_23_P35456	0.005716	2.64E-05	8.31	3.141027	4.12	SH3PXD2A	SH3 and PX domains 2A
A_23_P65427	0.005716	2.65E-05	-8.31	3.136258	-3.58	PSME2	proteasome activator subunit 2
A_24_P544889	0.005716	2.66E-05	-8.3	3.131198	-3.59	LOC105376714	uncharacterized LOC105376714
A_23_P66608	0.005716	2.70E-05	8.29	3.119025	2.98	KAT2A	lysine acetyltransferase 2A
A_32_P456318	0.005716	2.70E-05	-8.28	3.11767	-4.65	SRSF12	serine and arginine rich splicing factor 12
A_23_P322704	0.005716	2.71E-05	-8.28	3.113836	-3.28	FAM177A1	family with sequence similarity 177 member A1
A_23_P201459	0.005716	2.72E-05	-8.28	3.111492	-3.1	IFI6	interferon alpha inducible protein 6
A_23_P134663	0.005716	2.73E-05	-8.27	3.10703	-4.13	BAALC	"brain and acute leukemia, cytoplasmic"
A_23_P141802	0.005732	2.75E-05	-8.26	3.099491	-3.98	SERPINB7	serpin family B member 7
A_32_P195401	0.005751	2.78E-05	8.25	3.091613	3.15	FAM117B	family with sequence similarity 117 member B
A_23_P105939	0.005925	2.88E-05	-8.22	3.058327	-3.83	EXOC3L4	exocyst complex component 3 like 4
A_23_P121102	0.005937	2.91E-05	-8.2	3.048268	-4.97	HESX1	HESX homeobox 1
A_23_P142849	0.005937	2.91E-05	-8.2	3.046795	-5.03	RND3	Rho family GTPase 3
A_24_P382187	0.006021	2.98E-05	-8.18	3.024101	-4.94	IGFBP4	insulin like growth factor binding protein 4
A_23_P500433	0.006021	3.01E-05	8.17	3.015836	3.63	CARD9	caspase recruitment domain family member 9
A_24_P602320	0.006021	3.02E-05	-8.16	3.012407	-4.05		
A_24_P941912	0.006021	3.02E-05	-8.16	3.010612	-3.12	DTX3L	deltex E3 ubiquitin ligase 3L
A_24_P230563	0.006021	3.03E-05	-8.16	3.009866	-6.53	IL2RA	interleukin 2 receptor subunit alpha
A_24_P287043	0.006024	3.06E-05	-8.15	2.998473	-3.02	IFITM2	interferon induced transmembrane protein 2
A_23_P98910	0.006024	3.08E-05	8.14	2.991529	3.54	LRMP	lymphoid restricted membrane protein
A_23_P3866	0.006024	3.09E-05	8.14	2.990056	4.4	COTL1	coactosin like F-actin binding protein 1
A_23_P50946	0.006024	3.11E-05	8.13	2.983954	3.51	RAMP1	receptor activity modifying protein 1
A_23_P145074	0.006024	3.12E-05	-8.13	2.980607	-3.49	PNRC1	proline rich nuclear receptor coactivator 1
A_23_P125278	0.006024	3.13E-05	-8.12	2.977815	-5.59	CXCL11	C-X-C motif chemokine ligand 11
A_24_P623814	0.006024	3.13E-05	8.12	2.977337	4.06		
A_23_P161338	0.00604	3.15E-05	-8.12	2.970229	-3.75	PPA1	pyrophosphatase (inorganic) 1
A_24_P935919	0.00604	3.18E-05	-8.11	2.963484	-4.02	RAPGEF2	Rap guanine nucleotide exchange factor 2
A_23_P110212	0.00604	3.18E-05	-8.11	2.961524	-3.69	ACSL1	acyl-CoA synthetase long-chain family member 1
A_24_P278126	0.006043	3.20E-05	-8.1	2.956635	-3.02	NBN	nibrin
A_24_P912985	0.006199	3.30E-05	-8.07	2.92655	-3.18		
A_24_P303454	0.006199	3.34E-05	-8.05	2.915501	-3.7	TIAM2	T-cell lymphoma invasion and metastasis 2
A_23_P150018	0.006199	3.34E-05	-8.05	2.915286	-3.55	DUSP5	dual specificity phosphatase 5
A_24_P408772	0.006199	3.35E-05	-8.05	2.911928	-4.72	NAMPT	nicotinamide phosphoribosyltransferase
A_24_P117410	0.006199	3.37E-05	-8.04	2.906425	-3.59	KLHDC7B	kelch domain containing 7B
A_32_P9337	0.006199	3.37E-05	-8.04	2.906035	-3.03		
A_23_P6535	0.006272	3.43E-05	-8.03	2.890461	-3.32	KLHDC7B	kelch domain containing 7B
A_23_P305060	0.006293	3.45E-05	-8.02	2.883011	-3.91	NAMPT	nicotinamide phosphoribosyltransferase
A_23_P65651	0.006312	3.48E-05	-8.01	2.875806	-3.13	WARS	tryptophanyl-tRNA synthetase
A_23_P123853	0.006371	3.53E-05	-7.99	2.86266	-4.36	CCL19	C-C motif chemokine ligand 19
A_23_P420863	0.006428	3.57E-05	-7.98	2.849879	-2.95	NOD2	nucleotide binding oligomerization domain containing 2
A_23_P310094	0.006481	3.62E-05	-7.97	2.837707	-7.13	SYNPO2	synaptopodin 2
A_24_P142503	0.006507	3.65E-05	7.96	2.829682	3.96	SLC47A1	solute carrier family 47 member 1
A_24_P368575	0.006517	3.67E-05	7.95	2.824111	3.65	SLC4A7	solute carrier family 4 member 7
A_23_P210538	0.006564	3.71E-05	-7.94	2.812995	-2.92	ELMO2	engulfment and cell motility 2
A_24_P161018	0.006568	3.73E-05	-7.93	2.808274	-3.28	PARP14	poly(ADP-ribose) polymerase family member 14
A_23_P167468	0.006585	3.76E-05	-7.92	2.800332	-4.52	PRLR	prolactin receptor
A_23_P121106	0.006585	3.79E-05	-7.92	2.793886	-3.83	HESX1	HESX homeobox 1
A_23_P388400	0.006585	3.80E-05	-7.92	2.791701	-3.37	TANC1	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
A_23_P23639	0.006585	3.81E-05	-7.91	2.789464	-4.09	MCOLN2	mucolipin 2
A_32_P102653	0.006587	3.83E-05	-7.91	2.783246	-3.94	LINC01539	long intergenic non-protein coding RNA 1539
A_23_P153390	0.006587	3.84E-05	7.9	2.780964	3.89	CLEC4G	C-type lectin domain family 4 member G
A_24_P381199	0.006605	3.87E-05	-7.89	2.773228	-4.17	TRIM6	tripartite motif containing 6
A_23_P132159	0.006605	3.88E-05	-7.89	2.770289	-4.65	USP18	ubiquitin specific peptidase 18
A_24_P173754	0.006673	3.94E-05	-7.88	2.75646	-3.82	C1orf21	chromosome 1 open reading frame 21
A_24_P935535	0.006686	3.97E-05	-7.87	2.747781	-3.94		
A_32_P126023	0.006686	3.98E-05	-7.87	2.746586	-4.97		
A_23_P60248	0.006686	4.01E-05	-7.86	2.74029	-4.2	TXN	thioredoxin
A_32_P190334	0.006686	4.01E-05	7.86	2.738858	3.61		
A_32_P214503	0.006797	4.09E-05	7.84	2.719001	3.03	PDK3	pyruvate dehydrogenase kinase 3
A_32_P98298	0.006861	4.15E-05	-7.82	2.706031	-3.13	DUSP8	dual specificity phosphatase 8
A_23_P347541	0.006925	4.21E-05	-7.81	2.69323	-4.4	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A
A_23_P257993	0.006968	4.26E-05	7.79	2.680828	4.09	DNASE1L3	deoxyribonuclease 1 like 3
A_24_P381455	0.006968	4.27E-05	-7.79	2.67949	-2.88	DRAM1	DNA damage regulated autophagy modulator 1
A_23_P356616	0.006983	4.30E-05	-7.78	2.671997	-3.99	ABTB2	ankyrin repeat and BTB domain containing 2
A_23_P63390	0.006983	4.31E-05	-7.78	2.669768	-4.31	FCGR1B	Fc fragment of IgG receptor Ib
A_23_P68006	0.00701	4.38E-05	7.77	2.654986	4.61	IL1R1	interleukin 1 receptor type 1
A_23_P48029	0.00701	4.39E-05	7.76	2.651336	5.4	CLEC4A	C-type lectin domain family 4 member A
A_23_P11874	0.00701	4.40E-05	-7.76	2.649676	-2.88	MPZL1	myelin protein zero like 1
A_23_P360605	0.00701	4.41E-05	7.76	2.647489	3.19	MTCL1	microtubule crosslinking factor 1
A_23_P77545	0.00701	4.41E-05	-7.76	2.647133	-3.43	SSTR5	somatostatin receptor 5
A_32_P34703	0.007084	4.49E-05	7.74	2.630684	3.74		
A_23_P250353	0.007084	4.50E-05	-7.74	2.627399	-3.93	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
A_23_P55649	0.007084	4.51E-05	-7.73	2.625839	-3.18	FPR2	formyl peptide receptor 2
