ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P30687	0.0061	4.10E-06	-1.10E+01	4.727215	-3.87	SERPINB9	serpin family B member 9
A_32_P75581	0.0061	4.30E-06	-1.10E+01	4.687685	-4.2	BHLHE22	basic helix-loop-helix family member e22
A_24_P45446	0.0061	4.31E-06	-1.10E+01	4.685235	-6.66	GBP4	guanylate binding protein 4
A_23_P132057	0.00672	4.92E-06	-1.08E+01	4.577301	-5.5	LINC00158	long intergenic non-protein coding RNA 158
A_23_P69573	0.00821	6.57E-06	-1.04E+01	4.335383	-6.03	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
A_32_P79396	0.00821	6.60E-06	-1.04E+01	4.331291	-4.59	NAMPT	nicotinamide phosphoribosyltransferase
A_23_P103496	0.00821	6.61E-06	-1.04E+01	4.329576	-7.38	GBP4	guanylate binding protein 4
A_23_P87952	0.00829	6.87E-06	-1.03E+01	4.296657	-4.38	SOX5	SRY-box 5
A_23_P388670	0.00866	7.41E-06	1.02E+01	4.232589	3.86	LTA4H	leukotriene A4 hydrolase
A_24_P119665	0.00866	7.63E-06	-1.02E+01	4.207947	-4.24	SYNPO2	synaptopodin 2
A_23_P216970	0.00866	8.02E-06	-1.01E+01	4.16578	-4.02	TRAF1	TNF receptor associated factor 1
A_23_P19673	0.00866	8.02E-06	1.01E+01	4.165193	5.1	SGK1	serum/glucocorticoid regulated kinase 1
A_23_P121102	0.00898	8.57E-06	-1.00E+01	4.109037	-5.25	HESX1	HESX homeobox 1
A_23_P32404	0.00898	8.76E-06	-9.98	4.090433	-5.26	ISG20	interferon stimulated exonuclease gene 20
A_24_P130363	0.00902	9.02E-06	9.94	4.064615	3.67	LDLRAD4	low density lipoprotein receptor class A domain containing 4
A_23_P420196	0.00935	9.58E-06	-9.86	4.013244	-4.35	SOCS1	suppressor of cytokine signaling 1
A_23_P42353	0.00981	1.03E-05	-9.76	3.951085	-6.08	ETV7	ETS variant 7
A_24_P275386	0.00981	1.05E-05	9.73	3.931383	4.57	BRI3BP	BRI3 binding protein
A_24_P592591	0.00988	1.09E-05	-9.68	3.897963	-4.18		
A_23_P333498	0.00988	1.13E-05	9.64	3.873513	5.6	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1
A_23_P1602	0.00988	1.20E-05	-9.56	3.818932	-4.73	CDC42EP2	CDC42 effector protein 2
A_23_P305060	0.00988	1.23E-05	-9.53	3.799389	-4.06	NAMPT	nicotinamide phosphoribosyltransferase
A_23_P143621	0.00988	1.23E-05	9.53	3.798187	3.43	CRYBB1	crystallin beta B1
A_23_P74278	0.00988	1.23E-05	-9.52	3.79279	-5.05	PDE4B	phosphodiesterase 4B
A_32_P125542	0.00988	1.29E-05	-9.46	3.751341	-4.77		
A_23_P58132	0.00988	1.30E-05	-9.46	3.746034	-3.52	RHOH	ras homolog family member H
A_23_P58396	0.00988	1.31E-05	9.45	3.743216	5.27	PDGFC	platelet derived growth factor C
A_24_P79529	0.00988	1.33E-05	-9.43	3.730584	-3.55		
A_24_P250922	0.00988	1.36E-05	-9.4	3.705616	-5.61	PTGS2	prostaglandin-endoperoxide synthase 2
A_24_P294408	0.00988	1.37E-05	-9.39	3.699599	-5.4	PLA1A	phospholipase A1 member A
A_23_P214360	0.00988	1.39E-05	-9.37	3.688377	-4.3	IRF4	interferon regulatory factor 4
A_23_P143331	0.00988	1.40E-05	-9.37	3.684366	-5.24	BMP2	bone morphogenetic protein 2
A_23_P55632	0.01013	1.52E-05	-9.26	3.610148	-5.43	SERPINB3	serpin family B member 3
A_23_P430792	0.01013	1.53E-05	-9.25	3.603751	-4.03	HEATR9	HEAT repeat containing 9
A_24_P343929	0.01013	1.55E-05	-9.24	3.592785	-3.88	OAS2	2'-5'-oligoadenylate synthetase 2
A_23_P114740	0.01013	1.55E-05	-9.24	3.592512	-4.81	CFH	complement factor H
A_24_P77008	0.01013	1.56E-05	-9.23	3.588342	-6.22	PTGS2	prostaglandin-endoperoxide synthase 2
A_24_P217904	0.01013	1.61E-05	9.19	3.560115	4.7	TRERF1	transcriptional regulating factor 1
A_32_P178966	0.01013	1.62E-05	9.18	3.556366	3.74	TMEM170B	transmembrane protein 170B
A_24_P48014	0.01013	1.67E-05	-9.14	3.524675	-3.8	SOCS1	suppressor of cytokine signaling 1
A_24_P157926	0.01013	1.69E-05	-9.13	3.519045	-3.3	TNFAIP3	TNF alpha induced protein 3
A_23_P152838	0.01013	1.72E-05	-9.11	3.500805	-4.99	CCL5	C-C motif chemokine ligand 5
A_23_P338479	0.01013	1.74E-05	-9.09	3.491244	-3.49	CD274	CD274 molecule
A_24_P57700	0.01013	1.75E-05	9.09	3.487034	3.16	ZHX3	zinc fingers and homeoboxes 3
A_23_P157545	0.01013	1.75E-05	-9.08	3.48365	-4.49	NKX3-1	NK3 homeobox 1
A_32_P226605	0.01059	1.87E-05	-9.01	3.428394	-3.51		
A_32_P74409	0.01059	1.89E-05	-8.99	3.418807	-6.16	C11orf96	chromosome 11 open reading frame 96
A_23_P359277	0.01082	1.95E-05	-8.95	3.388069	-4.73	ELOVL7	ELOVL fatty acid elongase 7
A_24_P320033	0.01106	2.02E-05	-8.91	3.356151	-4.73	CD80	CD80 molecule
A_23_P214821	0.01159	2.15E-05	-8.83	3.302026	-4.38	EDN1	endothelin 1
A_23_P63896	0.01173	2.20E-05	-8.8	3.280011	-3.68	FAS	Fas cell surface death receptor
A_32_P179138	0.01202	2.34E-05	-8.73	3.226335	-4.6	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
A_23_P310094	0.01202	2.36E-05	-8.72	3.219686	-6.11	SYNPO2	synaptopodin 2
A_32_P56249	0.01202	2.37E-05	-8.72	3.215289	-4.36	USP30-AS1	USP30 antisense RNA 1
A_24_P378019	0.01202	2.38E-05	-8.71	3.21201	-3.63	IRF7	interferon regulatory factor 7
A_24_P382187	0.01205	2.43E-05	-8.68	3.189786	-4.58	IGFBP4	insulin like growth factor binding protein 4
A_23_P167096	0.01205	2.44E-05	-8.68	3.187706	-5.42	VEGFC	vascular endothelial growth factor C
A_23_P376488	0.01237	2.56E-05	-8.62	3.143808	-3.35	TNF	tumor necrosis factor
A_23_P85693	0.01237	2.56E-05	-8.62	3.143008	-4.67	GBP2	guanylate binding protein 2
A_24_P367576	0.0128	2.69E-05	8.57	3.101164	3.7		
A_32_P372337	0.01323	2.81E-05	8.52	3.061003	4.24	JAKMIP2	janus kinase and microtubule interacting protein 2
A_24_P303145	0.01338	2.87E-05	8.49	3.04004	3.88	ANKH	ANKH inorganic pyrophosphate transport regulator
A_32_P115258	0.01343	2.94E-05	8.46	3.017981	3.42		
A_24_P412036	0.01343	2.96E-05	8.46	3.013869	3.27	SPAG8	sperm associated antigen 8
A_23_P218928	0.01343	2.98E-05	8.45	3.00656	4.8	FAM198B	family with sequence similarity 198 member B
A_23_P81898	0.01389	3.12E-05	-8.4	2.966012	-4.93	UBD	ubiquitin D
A_23_P318800	0.01408	3.24E-05	-8.35	2.928955	-3.43	SSTR2	somatostatin receptor 2
A_24_P816844	0.01408	3.25E-05	8.35	2.927815	3.95		
A_24_P303454	0.01408	3.26E-05	-8.34	2.923868	-4.19	TIAM2	T-cell lymphoma invasion and metastasis 2
A_24_P924183	0.01442	3.38E-05	-8.3	2.892794	-3.53	MYO10	myosin X
A_23_P209394	0.01462	3.48E-05	-8.27	2.864282	-3.62	CFLAR	CASP8 and FADD like apoptosis regulator
A_24_P13381	0.01462	3.58E-05	8.23	2.83782	3.35	TRPV4	transient receptor potential cation channel subfamily V member 4
A_32_P50973	0.01462	3.59E-05	8.23	2.836685	3.31		
A_24_P167338	0.01462	3.66E-05	-8.21	2.818249	-3.49	RAB30	"RAB30, member RAS oncogene family"
A_23_P77117	0.01462	3.67E-05	8.21	2.816792	3.12	TM6SF1	transmembrane 6 superfamily member 1
A_24_P119131	0.01462	3.69E-05	8.2	2.810343	3.25	TMEM120B	transmembrane protein 120B
A_23_P41765	0.01462	3.70E-05	-8.2	2.809846	-3.98	IRF1	interferon regulatory factor 1
A_23_P431638	0.01462	3.71E-05	8.19	2.805182	3.07	FITM2	fat storage inducing transmembrane protein 2
A_32_P193194	0.01462	3.74E-05	-8.18	2.797641	-4.05		
A_23_P501754	0.0147	3.84E-05	-8.16	2.775262	-3.7	CSF3	colony stimulating factor 3
A_32_P9337	0.0147	3.86E-05	-8.15	2.770731	-3.19		
A_23_P35412	0.0147	3.89E-05	-8.14	2.763693	-4.76	IFIT3	interferon induced protein with tetratricopeptide repeats 3
A_23_P160720	0.0147	3.91E-05	-8.14	2.758693	-4.71	BATF3	basic leucine zipper ATF-like transcription factor 3
A_23_P133095	0.01484	3.98E-05	-8.12	2.741418	-3.25	RAPGEF2	Rap guanine nucleotide exchange factor 2
A_23_P110903	0.01536	4.16E-05	-8.07	2.701356	-4.64	SRSF12	serine and arginine rich splicing factor 12
A_24_P23258	0.01577	4.31E-05	8.03	2.668702	3.82	GRAMD4	GRAM domain containing 4
A_24_P324787	0.01584	4.36E-05	8.01	2.656409	3.36	KANK2	KN motif and ankyrin repeat domains 2
A_23_P322704	0.01598	4.47E-05	-7.99	2.635335	-3.28	FAM177A1	family with sequence similarity 177 member A1
A_23_P8754	0.01598	4.49E-05	-7.98	2.6309	-2.99	AASS	aminoadipate-semialdehyde synthase
A_24_P299318	0.01598	4.52E-05	7.97	2.623618	3.11	FAM101B	family with sequence similarity 101 member B
A_23_P121564	0.01601	4.57E-05	-7.96	2.614261	-5.35	GUCY1B3	guanylate cyclase 1 soluble subunit beta
A_24_P230675	0.01607	4.64E-05	-7.94	2.599032	-3.98	SOCS2	suppressor of cytokine signaling 2
A_23_P215024	0.01607	4.66E-05	-7.94	2.595219	-2.93	LRRC1	leucine rich repeat containing 1
A_23_P217428	0.01607	4.70E-05	7.93	2.587022	4.27	ARHGAP6	Rho GTPase activating protein 6
A_23_P423348	0.01661	4.90E-05	-7.88	2.548835	-4.59	IL31RA	interleukin 31 receptor A
A_23_P8513	0.01694	5.04E-05	-7.85	2.523141	-3.05	SNX10	sorting nexin 10
A_23_P111000	0.01719	5.24E-05	-7.81	2.486036	-3.54	PSMB9	proteasome subunit beta 9
A_23_P29816	0.01719	5.27E-05	-7.8	2.481181	-4.18	PLA1A	phospholipase A1 member A
A_23_P128215	0.01719	5.28E-05	-7.8	2.480506	-3.19	SOCS2	suppressor of cytokine signaling 2
A_23_P215913	0.01719	5.36E-05	-7.79	2.466507	-3.56	CLU	clusterin
A_24_P408772	0.01719	5.36E-05	-7.79	2.465642	-4.63	NAMPT	nicotinamide phosphoribosyltransferase
A_23_P819	0.01719	5.37E-05	-7.78	2.4648	-4.56	ISG15	ISG15 ubiquitin-like modifier
A_24_P196568	0.01755	5.52E-05	7.75	2.437842	3.06	LRPAP1	LDL receptor related protein associated protein 1
A_24_P273972	0.0177	5.67E-05	-7.73	2.413912	-4.55	CFH	complement factor H
A_23_P111583	0.0177	5.68E-05	7.72	2.412483	4.9	CD36	CD36 molecule
A_23_P30736	0.0177	5.70E-05	-7.72	2.408824	-3.54	HLA-DOB	"major histocompatibility complex, class II, DO beta"
A_32_P38323	0.01829	6.02E-05	-7.66	2.357232	-3.71	SERPINB9	serpin family B member 9
A_32_P41551	0.01829	6.11E-05	-7.64	2.342767	-3.36	LOC285957	uncharacterized LOC285957
A_23_P72737	0.01829	6.21E-05	-7.63	2.328197	-3.61	IFITM1	interferon induced transmembrane protein 1
A_32_P35575	0.01829	6.24E-05	7.62	2.323759	3.29	MBD3	methyl-CpG binding domain protein 3
A_23_P384355	0.01829	6.27E-05	-7.62	2.319462	-5.06		
A_24_P368575	0.01829	6.30E-05	7.61	2.315552	3.71	SLC4A7	solute carrier family 4 member 7
A_23_P42909	0.01829	6.30E-05	-7.61	2.314529	-3.9	TMEM139	transmembrane protein 139
A_23_P252106	0.01829	6.32E-05	-7.61	2.312191	-3.41	RIPK2	receptor interacting serine/threonine kinase 2
A_24_P11142	0.01829	6.33E-05	-7.61	2.309704	-3.17	KIAA0040	KIAA0040
A_23_P69383	0.01829	6.35E-05	-7.6	2.306719	-2.63	PARP9	poly(ADP-ribose) polymerase family member 9
A_23_P145074	0.01829	6.38E-05	-7.6	2.303193	-3.58	PNRC1	proline rich nuclear receptor coactivator 1
A_24_P322635	0.0183	6.49E-05	-7.58	2.286953	-2.66	ELMO2	engulfment and cell motility 2
A_23_P315571	0.0183	6.57E-05	-7.57	2.27591	-2.84	RFTN1	"raftlin, lipid raft linker 1"
A_32_P130217	0.0183	6.61E-05	7.56	2.269762	3.05		
A_24_P377499	0.0183	6.64E-05	7.56	2.26593	3.37	OSBPL3	oxysterol binding protein like 3
A_23_P5785	0.0183	6.67E-05	7.55	2.260626	3.33	BBS5	Bardet-Biedl syndrome 5
A_23_P84929	0.0183	6.69E-05	-7.55	2.257998	-3.17	SLC38A5	solute carrier family 38 member 5
A_32_P88479	0.0183	6.71E-05	7.54	2.256184	3.01	KIAA0930	KIAA0930
A_23_P151075	0.0183	6.76E-05	7.54	2.248692	4.3	ARHGDIB	Rho GDP dissociation inhibitor beta
A_24_P64167	0.0183	7.08E-05	7.49	2.204882	3.2	PTGS1	prostaglandin-endoperoxide synthase 1
A_23_P209288	0.0183	7.11E-05	7.48	2.201834	2.91	CUL3	cullin 3
A_32_P83049	0.0183	7.13E-05	7.48	2.199293	3.09	EFR3B	EFR3 homolog B
A_24_P920398	0.0183	7.14E-05	-7.48	2.197069	-3.33	PARP14	poly(ADP-ribose) polymerase family member 14
A_23_P14105	0.0183	7.16E-05	7.48	2.194538	3.14	RCBTB2	RCC1 and BTB domain containing protein 2
A_24_P14464	0.0183	7.17E-05	-7.47	2.192928	-3.23	WFDC2	WAP four-disulfide core domain 2
A_24_P91991	0.0183	7.18E-05	7.47	2.191448	4.03	NAT8L	N-acetyltransferase 8 like
A_23_P137856	0.0183	7.19E-05	-7.47	2.191126	-3.48	MUC1	"mucin 1, cell surface associated"
A_23_P71946	0.0183	7.26E-05	-7.46	2.181647	-5.81	BSPRY	B-box and SPRY domain containing
A_23_P105939	0.0183	7.29E-05	-7.46	2.177305	-3.77	EXOC3L4	exocyst complex component 3 like 4
A_23_P121716	0.0183	7.30E-05	-7.45	2.17613	-5.4	ANXA3	annexin A3
A_24_P12690	0.0183	7.31E-05	-7.45	2.175294	-5.14	IDO2	"indoleamine 2,3-dioxygenase 2"
A_23_P167227	0.0183	7.35E-05	7.45	2.17011	2.98	HADH	hydroxyacyl-CoA dehydrogenase
A_24_P251534	0.0183	7.36E-05	7.45	2.16823	3.36	CTDSPL	CTD small phosphatase like
A_23_P156788	0.01848	7.54E-05	-7.42	2.14652	-2.93	STX11	syntaxin 11
A_23_P39840	0.01848	7.54E-05	-7.42	2.146389	-4.13	VAMP5	vesicle associated membrane protein 5
A_23_P314250	0.01848	7.57E-05	7.42	2.141794	2.73	FAM78A	family with sequence similarity 78 member A
A_24_P118892	0.01848	7.70E-05	-7.4	2.126326	-2.98	IRF7	interferon regulatory factor 7
A_23_P211957	0.01848	7.71E-05	7.4	2.124801	3.55	TGFBR2	transforming growth factor beta receptor 2
A_24_P706752	0.01848	7.75E-05	7.39	2.119544	2.84	PLA2G12A	phospholipase A2 group XIIA
A_23_P71148	0.01848	7.76E-05	-7.39	2.118397	-3.47	BLVRA	biliverdin reductase A
A_23_P161424	0.01848	7.80E-05	7.39	2.114139	2.68	PLXDC2	plexin domain containing 2
A_24_P37519	0.01874	7.96E-05	7.36	2.09522	2.71	LZTFL1	leucine zipper transcription factor like 1
A_23_P110712	0.01874	8.00E-05	-7.36	2.090336	-3.62	DUSP1	dual specificity phosphatase 1
A_23_P204751	0.01887	8.10E-05	7.35	2.078575	3.74	ASIC1	acid sensing ion channel subunit 1
A_23_P259344	0.01916	8.27E-05	7.32	2.058596	2.96	CECR6	"cat eye syndrome chromosome region, candidate 6"
A_23_P358944	0.01946	8.45E-05	-7.3	2.038687	-2.87	PML	promyelocytic leukemia
A_24_P402080	0.01947	8.53E-05	7.29	2.029444	3.05	MBP	myelin basic protein
A_23_P384024	0.01947	8.60E-05	-7.28	2.021641	-3.34	CCDC50	coiled-coil domain containing 50
A_23_P62768	0.01947	8.64E-05	-7.28	2.017159	-2.78	TMEM54	transmembrane protein 54
A_23_P38346	0.01947	8.76E-05	-7.26	2.004123	-3.75	DHX58	DEXH-box helicase 58
A_32_P98298	0.01947	8.77E-05	-7.26	2.002786	-2.67	DUSP8	dual specificity phosphatase 8
A_24_P634688	0.01947	8.78E-05	-7.26	2.002033	-3.32		
A_23_P348979	0.01947	8.79E-05	7.26	2.000787	3.49	FAM27E3	family with sequence similarity 27 member E3
A_24_P544882	0.01947	8.83E-05	7.26	1.996401	2.83	SSR1	signal sequence receptor subunit 1
A_23_P147397	0.01958	8.93E-05	7.25	1.985864	2.76	DYNC2H1	dynein cytoplasmic 2 heavy chain 1
A_23_P51487	0.02005	9.19E-05	-7.22	1.958454	-3.96	GBP3	guanylate binding protein 3
A_23_P326160	0.02008	9.26E-05	-7.21	1.951867	-3.3	ZC3H12A	zinc finger CCCH-type containing 12A
A_32_P8806	0.02041	9.48E-05	7.18	1.929647	2.71	SBNO1	strawberry notch homolog 1
A_23_P347040	0.02041	9.51E-05	-7.18	1.926557	-3.58	DTX3L	deltex E3 ubiquitin ligase 3L
A_23_P336728	0.02104	9.85E-05	7.14	1.892479	2.63	DKFZP564C152	DKFZP564C152 protein
A_24_P609382	0.02105	1.00E-04	7.13	1.878464	2.84	C17orf51	chromosome 17 open reading frame 51
A_23_P35456	0.02105	1.01E-04	7.12	1.867408	3.57	SH3PXD2A	SH3 and PX domains 2A
A_23_P65651	0.02105	1.01E-04	-7.12	1.865265	-2.7	WARS	tryptophanyl-tRNA synthetase
A_24_P32473	0.02105	1.02E-04	-7.11	1.863642	-5.07	ELOVL7	ELOVL fatty acid elongase 7
A_23_P321388	0.02105	1.02E-04	-7.11	1.863508	-3.1	RNF19B	ring finger protein 19B
A_24_P567298	0.02105	1.02E-04	-7.11	1.858623	-4.62		
A_32_P15169	0.02105	1.02E-04	-7.11	1.85616	-2.79		
A_24_P98109	0.02105	1.03E-04	-7.1	1.84991	-2.65	SNX10	sorting nexin 10
A_24_P230563	0.02105	1.04E-04	-7.09	1.844241	-5.16	IL2RA	interleukin 2 receptor subunit alpha
A_23_P76386	0.02105	1.04E-04	-7.09	1.843715	-3.32	SLC6A12	solute carrier family 6 member 12
A_23_P65427	0.02119	1.05E-04	-7.08	1.832766	-2.68	PSME2	proteasome activator subunit 2
A_23_P423237	0.02126	1.06E-04	7.07	1.819329	2.99	SGCG	sarcoglycan gamma
A_23_P58031	0.02126	1.07E-04	-7.06	1.816894	-4.65	MAP3K13	mitogen-activated protein kinase kinase kinase 13
A_23_P91859	0.02126	1.07E-04	-7.06	1.811566	-2.69	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1
A_24_P362931	0.02126	1.08E-04	7.05	1.803971	2.63	SLC4A7	solute carrier family 4 member 7
A_24_P555510	0.02126	1.08E-04	7.05	1.802647	2.8	PCM1	pericentriolar material 1
A_32_P190316	0.02126	1.09E-04	7.05	1.800839	2.85		
A_23_P120458	0.02126	1.09E-04	-7.04	1.797327	-2.42	RNF114	ring finger protein 114
A_24_P316965	0.02128	1.10E-04	-7.04	1.791805	-6.47	RSAD2	radical S-adenosyl methionine domain containing 2
A_24_P221575	0.02141	1.11E-04	-7.03	1.781542	-3.23	RUFY3	RUN and FYVE domain containing 3
A_23_P148047	0.02184	1.13E-04	-7	1.758392	-2.66	PTGER4	prostaglandin E receptor 4
A_24_P912985	0.02216	1.16E-04	-6.98	1.739761	-3.58		
A_32_P116685	0.02216	1.16E-04	6.98	1.7343	4.19		
A_23_P103617	0.02216	1.17E-04	6.97	1.730863	2.85	ANXA9	annexin A9
A_32_P87323	0.02244	1.19E-04	6.96	1.714518	3.06	IQCH-AS1	IQCH antisense RNA 1
A_23_P85903	0.02244	1.21E-04	6.94	1.695629	5.19	TLR5	toll like receptor 5
A_23_P71570	0.02244	1.21E-04	-6.94	1.694887	-5.86	OSR2	odd-skipped related transciption factor 2
A_23_P165042	0.02244	1.21E-04	-6.93	1.694278	-3.24	LOC100129935	"lectin, galactoside binding soluble 14 pseudogene"
A_23_P165783	0.02244	1.22E-04	6.93	1.691671	3.26	MLPH	melanophilin
A_24_P37589	0.02244	1.22E-04	-6.93	1.686683	-2.76	ACPP	"acid phosphatase, prostate"
A_23_P157726	0.02244	1.24E-04	6.92	1.675734	2.86	DENND4C	DENN domain containing 4C
A_23_P47155	0.02244	1.24E-04	-6.91	1.674704	-2.68	PANX1	pannexin 1
A_32_P38125	0.02244	1.24E-04	-6.91	1.673979	-4.33	IL1RN	interleukin 1 receptor antagonist
A_23_P161428	0.02244	1.24E-04	-6.91	1.67309	-6.35	ANKRD22	ankyrin repeat domain 22
A_24_P213794	0.02244	1.24E-04	-6.91	1.671211	-3.78	NOCT	nocturnin
A_23_P217319	0.02266	1.26E-04	-6.9	1.657907	-5.99	FGF13	fibroblast growth factor 13
A_24_P350686	0.02286	1.28E-04	-6.88	1.645153	-3.43	TIFA	TRAF interacting protein with forkhead associated domain
A_32_P230253	0.02286	1.29E-04	-6.87	1.633295	-3.59		
A_32_P226614	0.02286	1.29E-04	-6.87	1.633156	-4.32		
A_24_P697345	0.02286	1.30E-04	6.87	1.631367	3.19		
A_23_P144916	0.02286	1.31E-04	-6.85	1.617102	-3.01	GFPT2	glutamine-fructose-6-phosphate transaminase 2
A_23_P161338	0.02286	1.33E-04	-6.84	1.607041	-3.75	PPA1	pyrophosphatase (inorganic) 1
A_23_P132822	0.02286	1.33E-04	-6.84	1.606957	-3.41	XRN1	5'-3' exoribonuclease 1
A_32_P72611	0.02286	1.33E-04	-6.84	1.603239	-3.39	MAZ	MYC associated zinc finger protein
A_23_P207879	0.02286	1.33E-04	6.84	1.602885	3.04	CARD14	caspase recruitment domain family member 14
A_24_P409500	0.02286	1.34E-04	6.84	1.60165	2.69		
A_24_P117410	0.02286	1.34E-04	-6.84	1.601383	-3.45	KLHDC7B	kelch domain containing 7B
A_23_P29953	0.02286	1.34E-04	-6.84	1.600068	-3.24	IL15	interleukin 15
A_23_P75741	0.02295	1.35E-04	-6.83	1.589458	-2.63	UBE2L6	ubiquitin conjugating enzyme E2 L6
A_24_P942786	0.02295	1.35E-04	6.83	1.588707	2.98	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
A_32_P39944	0.023	1.36E-04	-6.82	1.58251	-2.54		
A_23_P122662	0.02321	1.38E-04	6.81	1.569965	2.99	GFOD1	glucose-fructose oxidoreductase domain containing 1
A_23_P329261	0.0234	1.40E-04	-6.79	1.557919	-2.56	KCNJ2	potassium voltage-gated channel subfamily J member 2
A_23_P385322	0.02346	1.41E-04	-6.79	1.550031	-3.22	STAMBPL1	STAM binding protein like 1
A_23_P48029	0.02346	1.42E-04	6.78	1.54421	4.42	CLEC4A	C-type lectin domain family 4 member A
A_23_P23616	0.02346	1.42E-04	-6.78	1.543961	-2.45	PLEKHN1	pleckstrin homology domain containing N1
A_23_P58009	0.02363	1.43E-04	-6.77	1.533205	-4.13	C3orf52	chromosome 3 open reading frame 52
A_23_P123608	0.02382	1.45E-04	-6.76	1.521679	-2.93	JAK2	Janus kinase 2
A_23_P390006	0.02383	1.47E-04	6.75	1.513216	3.39	PCSK6	proprotein convertase subtilisin/kexin type 6
A_23_P121253	0.02383	1.47E-04	-6.74	1.507386	-5.59	TNFSF10	tumor necrosis factor superfamily member 10
A_23_P15844	0.02383	1.47E-04	-6.74	1.506928	-4.93	BRIP1	BRCA1 interacting protein C-terminal helicase 1
A_23_P431360	0.02383	1.48E-04	6.74	1.505838	2.61	ZNF219	zinc finger protein 219
A_23_P90542	0.02391	1.49E-04	6.73	1.498769	2.84	ZNF540	zinc finger protein 540
A_23_P306203	0.0241	1.50E-04	-6.72	1.487376	-2.75	SAA2	serum amyloid A2
A_23_P748	0.0245	1.54E-04	-6.7	1.467829	-3.86	IRF6	interferon regulatory factor 6
A_23_P156505	0.02454	1.54E-04	-6.7	1.462109	-3.48	IRF4	interferon regulatory factor 4
A_23_P152782	0.02454	1.55E-04	-6.69	1.458893	-2.42	IFI35	interferon induced protein 35
A_23_P126939	0.02464	1.57E-04	-6.68	1.448432	-2.69	RAB29	"RAB29, member RAS oncogene family"
A_23_P371824	0.02464	1.57E-04	-6.68	1.447384	-2.54	TUFT1	tuftelin 1
A_23_P370682	0.02471	1.58E-04	-6.68	1.441288	-3.37	BATF2	basic leucine zipper ATF-like transcription factor 2
